name,region,seed,bpi,kenpom,sagarin,moore
Connecticut,West,4,18.3,29.86,93.12,100.61
San Diego State,South,5,12.6,20.34,86.48,91.2
Florida Atlantic,East,9,11,19.38,84.74,89.5
Miami,Midwest,5,11.5,17.94,86.27,91.31
Creighton,South,6,14.5,21.83,88.28,91.98
Kansas State,East,3,11.4,18.51,85.78,90.99
Gonzaga,West,3,14.9,23.02,89.55,91.96
Texas,Midwest,2,16.8,24.43,90.42,94.32
Alabama,South,1,18.9,27.28,92.11,96.24
Princeton,South,15,4.5,8.04,78.18,80.36
Tennessee,East,4,18.3,23.8,88.74,96.01
Michigan State,East,7,10.8,17.61,85.84,89.98
Arkansas,West,8,12.6,18.05,85.88,90.36
UCLA,West,2,17.8,27.29,91.23,96.64
Houston,Midwest,1,20.5,27.72,91.11,97.31
Xavier,Midwest,3,12.5,19.95,86.14,90.27
Maryland,South,8,12,17.99,84.99,90.11
Furman,South,13,5,8.01,79.18,80.97
Baylor,South,3,13.8,19.68,87.22,90.56
Missouri,South,7,8.2,13.07,82.24,87.95
Fairleigh Dickinson,East,16,-4.6,-8.36,66.52,72.49
Duke,East,5,13,19.35,87.4,90.79
Kentucky,East,6,12.5,17.4,85.85,89.47
Marquette,East,2,13.6,22.38,87.45,91.25
Kansas,West,1,14.7,22.85,89.9,93.43
Saint Mary's,West,5,12.2,21.24,86.41,90.37
TCU,West,6,11.6,17.78,85.84,90.27
Northwestern,West,7,10.4,15.59,84.44,89.66
Auburn,Midwest,9,11.6,16.77,85.15,89.2
Indiana,Midwest,4,12.3,17.03,85.84,90.23
Pittsburgh,Midwest,11,8.3,12.86,82.04,85.83
Penn State,Midwest,10,10.2,16.04,84.56,89.25
Texas A&M-CC,South,16,-2,-0.48,70.56,73.15
West Virginia,South,9,12.1,18.82,85.63,90.78
Charleston,South,12,8.2,11.85,80.59,85.74
Virginia,South,4,11.9,16.37,84.68,88.43
NC State,South,11,9.6,13.55,82.78,87.44
UC-Santa Barbara,South,14,2.3,5.68,76.09,78.52
Utah State,South,10,9.4,17.39,83.35,86.86
Arizona,South,2,14.2,21.9,89.13,93.49
Purdue,East,1,15.4,23.24,88.31,92.12
Memphis,East,8,11.5,18.53,86.3,90
Oral Roberts,East,12,5.7,11.65,79.75,82.91
Louisiana,East,13,4.6,8.51,78.06,82
Providence,East,11,10.4,15.39,83.86,87.82
Montana State,East,14,3.4,5.49,74.8,78.87
Southern California,East,10,8.6,14.85,83.67,86.49
Vermont,East,15,4.2,5.33,76.56,78.38
Howard,West,16,-3.1,-3.38,68.63,71.96
Illinois,West,9,11.1,16.22,84.78,89.94
VCU,West,12,8.7,12.84,82.97,85.89
Iona,West,13,8.7,11.35,79.14,84.7
Arizona State,West,11,7.7,13.26,82,86.34
Grand Canyon,West,14,5,5.88,76.32,79.2
Boise State,West,10,9.2,15.85,81.52,86.7
NC-Asheville,West,15,1.3,1.22,72.45,76.95
Northern Kentucky,Midwest,16,1.2,0.65,73.34,78.28
Iowa,Midwest,8,10.8,15.39,84.48,89.39
Drake,Midwest,12,8.6,11.9,81.64,85.01
Kent State,Midwest,13,7.1,11.2,80.72,83.17
Iowa State,Midwest,6,11.6,17.04,83.94,89.49
Kennesaw State,Midwest,14,2.1,4.04,73.74,79.54
Texas A&M,Midwest,7,11.7,16.71,85.35,89.13
Colgate,Midwest,15,4.3,5.24,75.98,80.46
